truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9326,1858,118146.34177634,0.00802268474417941,19.9230048842842,31401.6266592215,31000,1476.56094887011,1,21431.3091632439,2.45696548860222,2.22604041886318,19417.0250448551,0.220596698547892,1.19519917653121,1.21312648530345
L,9327,1762,129427.527195633,0.00882305615612571,21.0131330970488,31401.6266592215,31000,1557.46349349868,1,22549.6071081203,2.58517135020438,2.35331168019232,20527.1707761623,0.250060948351912,1.18619408373588,1.19692708690369
L,9328,1675,141324.587263241,0.00967511917398568,22.1001530125373,31401.6266592215,31000,1638.15636340879,1,24897.182309575,2.85430615703947,2.45462579164055,21410.90074922,0.284476410699337,1.17525475860662,1.18809793129084
L,9329,1597,153977.010419125,0.0105906501625151,23.1799750494678,31401.6266592214,31000,1718.33648877884,1,25231.5952782981,2.89264451130589,2.5506630002296,22248.6020185276,0.323603610190926,1.16611857150987,1.18505243888819
L,9330,1530,166369.888040486,0.0108781529347071,24.1997916784314,31355.2744616189,31000,1220.45421287655,1,26832.6581968768,3.08074386741534,2.60850858578567,22719.584067444,0.427040024699765,1.15850788312759,1.16527090571114
L,9331,1464,178945.964225171,0.0117304465289456,25.285663510929,31355.2744616189,31000,1275.32416524639,1,27490.5376851605,3.15627712931424,2.52260095423002,21971.3459102843,0.445862637062698,1.14273411715179,1.15012822317728
L,9332,1405,191003.833411258,0.0125459449281185,26.3545111323843,31355.2744616189,31000,1329.33571610107,1,26703.4564602684,3.06590980010843,2.34285593753056,20405.8030403621,0.47918320683557,1.12384031285087,1.12951146516594
L,9333,1350,203720.440171506,0.0133768624150656,27.4117750837037,31355.2744616188,31000,1382.77282013932,1,24419.3167666675,2.8036603687718,2.23754289177106,19488.5476364237,0.521917433258277,1.10712579778174,1.108048976805
L,9334,1300,216996.828655652,0.0142385410150988,28.4754574046154,31355.2744616188,31000,1436.53581920428,1,20056.0707126337,2.30270204312394,1.97438504392554,17196.4958181112,0.569486237563269,1.08719564394607,1.08520332357707
L,9335,1253,229396.502835026,0.0150839853117109,29.5381072194733,31355.2744616188,31000,1490.24910437016,1,19448.5584318345,2.23295160245871,1.47265566257825,12826.5340243327,0.603993140734285,1.05653098202312,1.05811776818168
L,9336,1209,247810.341819247,0.016373156644134,30.6093753316791,31355.2744616187,31000,1544.43993938857,1,17287.293531234,1.98480982166564,1.38972928936374,12104.2620264862,0.613724147732064,1.04205860828604,1.0564141788995
L,9337,1167,263194.968216375,0.0174429733456238,31.7265838800343,31355.2744616187,31000,1600.98263309727,1,7385.97965174194,0.848008100800351,0.856267939391875,7457.92118119914,0.567541264535726,1.03033947796451,1.03133704198757
L,9338,1859,123915.861017804,0.00837996941946735,19.9073585379236,33401.6266592215,33000,1475.40451600109,1,23640.2325696069,2.54792492949111,2.35049753251998,21808.455845737,0.241036213982053,1.21155895719567,1.22855647915017
L,9339,1763,135436.897790738,0.00919922881607323,20.9960676568349,33401.6266592215,33000,1556.20279706616,1,25887.4960456323,2.79013314875632,2.47241952131924,22939.6760544655,0.27426635390041,1.19968827189767,1.21202075670047
L,9340,1676,147300.10738753,0.0100428013516417,22.0791317279236,33401.6266592215,33000,1636.59202605516,1,26817.3168611734,2.89034847569531,2.5519974439174,23678.0182936156,0.313402100194763,1.18665967839007,1.19976530235872
